File,Phrase
001.json,the best of both worlds
002.json,spill the beans
003.json,time is money
004.json,you reap what you sow
005.json,pull someone's leg
006.json,easy come easy go
007.json,down to the wire
008.json,fortune favors the bold
009.json,no pain no gain
010.json,lose your touch
011.json,throw caution to the wind
012.json,practice makes perfect
013.json,a watched pot never boils
014.json,cost an arm and a leg
015.json,get a second wind
016.json,no news is good news
017.json,beat around the bush
018.json,sleep on it
019.json,a blessing in disguise
020.json,hit the sack
021.json,leave no stone unturned
022.json,let bygones be bygones
023.json,it takes two to tango
024.json,rain on your parade
025.json,the more the merrier
026.json,rome wasn't built in a day
027.json,beggars can't be choosers
028.json,think outside the box
029.json,cut to the chase
030.json,throw in the towel
031.json,live and let live
032.json,go the extra mile
033.json,speak of the devil
034.json,put your foot down
035.json,love is blind
036.json,get out of hand
037.json,under your nose
038.json,know the ropes
039.json,let your hair down
040.json,the last straw
041.json,make ends meet
042.json,weather the storm
043.json,in hot water
044.json,go out on a limb
045.json,you can say that again
046.json,burn the midnight oil
047.json,no man is an island
048.json,don't rock the boat
049.json,jump on the bandwagon
050.json,bite the bullet
051.json,it is what it is
052.json,read between the lines
053.json,scratch the surface
054.json,piece of cake
055.json,out of sight out of mind
056.json,toe the line
057.json,bend over backwards
058.json,barking up the wrong tree
059.json,steal someone's thunder
060.json,wrap your head around it
061.json,walk on eggshells
062.json,there's no place like home
063.json,in the nick of time
064.json,turn over a new leaf
065.json,make a long story short
066.json,under the weather
067.json,look before you leap
068.json,sit on the fence
069.json,keep your chin up
070.json,better safe than sorry
071.json,on thin ice
072.json,ignorance is bliss
073.json,hit the nail on the head
074.json,curiosity killed the cat
075.json,stick your neck out
076.json,play it by ear
077.json,off the beaten path
078.json,once in a blue moon
079.json,all bark and no bite
080.json,let sleeping dogs lie
081.json,jump the gun
082.json,call it a day
083.json,up in the air
084.json,take a rain check
085.json,let the cat out of the bag
086.json,ants in your pants
087.json,to each their own
088.json,no ifs ands or buts
089.json,after the fact
090.json,safe and sound
091.json,neck and neck
092.json,this too shall pass
093.json,heart of gold
094.json,the plot thickens
095.json,the early bird
096.json,for the record
097.json,back to the drawing board
098.json,your guess is as good as mine
099.json,burst your bubble
100.json,clear as day
101.json,do the right thing
102.json,feast or famine
103.json,the elephant in the room
104.json,kick the bucket
105.json,strike while the iron is hot
106.json,grease the wheels
107.json,between a rock and a hard place
108.json,take it with a grain of salt
109.json,shoot for the moon
110.json,in the same boat
111.json,hard pill to swallow
112.json,when the dust settles
113.json,talk is cheap
114.json,the big picture
115.json,level the playing field
116.json,needle in a haystack
117.json,give or take
118.json,beauty is only skin deep
119.json,worth its weight in gold
120.json,by and large
121.json,music to my ears
122.json,with flying colors
123.json,money does not grow on trees
124.json,make the cut
125.json,reinvent the wheel
126.json,put your best foot forward
127.json,few and far between
128.json,reach for the stars
129.json,under control
130.json,raise the bar
131.json,stop and smell the roses
132.json,for crying out loud
133.json,hit the ground running
134.json,burning the midnight oil
135.json,open a can of worms
136.json,beyond the pale
137.json,have bigger fish to fry
138.json,if the shoe fits
139.json,its not rocket science
140.json,more than meets the eye
141.json,day in and day out
142.json,bring down the house
143.json,never say never
144.json,tip of the iceberg
145.json,wild goose chase
146.json,around the clock
147.json,from the bottom of my heart
148.json,circle the wagons
149.json,beware the ides of march
150.json,little did i know
151.json,follow your heart
152.json,get your act together
153.json,throw your hat into the ring
154.json,face the music
155.json,meet in the middle
156.json,pick up the pieces
157.json,patience is a virtue
158.json,fly off the handle
159.json,put all your eggs in one basket
160.json,water under the bridge
161.json,under pressure
162.json,close but no cigar
163.json,at the drop of a hat
164.json,count your blessings
165.json,change of heart
166.json,do not rock the boat
167.json,on cloud nine
168.json,mind over matter
169.json,show your true colors
170.json,dressed to the nines
171.json,third times the charm
172.json,let the chips fall where they may
173.json,give the green light
174.json,diamond in the rough
175.json,in the blink of an eye
176.json,pull out all the stops
177.json,grass is always greener
178.json,slow and steady wins the race
179.json,calm before the storm
180.json,against the grain
181.json,walking on thin ice
182.json,on the fence
183.json,a dime a dozen
184.json,add fuel to the fire
185.json,the straw that broke the camels back
186.json,do unto others
187.json,keep it simple
188.json,low hanging fruit
189.json,pay it forward
190.json,still waters run deep
191.json,home is where the heart is
192.json,head over heels
193.json,stand your ground
194.json,saved by the bell
195.json,jump through hoops
196.json,crack of dawn
197.json,pain in the neck
198.json,jump through hoops
199.json,born with a silver spoon
200.json,rule of thumb
201.json,spring to mind
202.json,come rain or shine
203.json,as good as gold
204.json,sick and tired
205.json,the icing on the cake
206.json,all in a days work
207.json,caught red handed
208.json,pull yourself together
209.json,odds and ends
210.json,part and parcel
211.json,silver lining
212.json,ahead of the curve
213.json,no time like the present
214.json,cold hard cash
215.json,step up to the plate
216.json,fish out of water
217.json,open secret
218.json,every now and then
219.json,take the plunge
220.json,from the ground up
221.json,the ball is in your court
222.json,fly by night
223.json,do not sweat it
224.json,rise and shine
225.json,devil is in the details
226.json,not out of the woods
227.json,break the ice
228.json,take the cake
229.json,straight and narrow
230.json,hang in there
231.json,dead as a doornail
232.json,short and sweet
233.json,does not hold water
234.json,in a nutshell
235.json,take the wheel
236.json,do not shoot the messenger
237.json,right as rain
238.json,sink or swim
239.json,against all odds
240.json,light at the end of the tunnel
241.json,early bird gets the worm
242.json,par for the course
243.json,rise and fall
244.json,touch and go
245.json,above and beyond
246.json,down for the count
247.json,green with envy
248.json,cool as a cucumber
249.json,all in good time
250.json,make no bones about it
251.json,honesty is the best policy
252.json,have a change of heart
253.json,you win some you lose some
254.json,trial by fire
255.json,hold your horses
256.json,all systems go
257.json,back to basics
258.json,between a rock and a hard place
259.json,when push comes to shove
260.json,over the moon
261.json,better late than never
262.json,stuff of legends
263.json,get cold feet
264.json,word to the wise
265.json,pass the buck
266.json,tooth and nail
267.json,under one roof
268.json,fit as a fiddle
269.json,easier said than done
270.json,like father like son
271.json,down to the last detail
272.json,the ball is in your court
273.json,turn the tables
274.json,work like a dog
275.json,take the high road
276.json,fall through the cracks
277.json,dog eat dog world
278.json,hit the ground running
279.json,when push comes to shove
280.json,fair and square
281.json,skeletons in the closet
282.json,peace of mind
283.json,under the radar
284.json,well oiled machine
285.json,out of left field
286.json,cry over spilled milk
287.json,spill your guts
288.json,down to earth
289.json,actions speak louder
290.json,drop of a hat
291.json,save for a rainy day
292.json,out of the blue
293.json,see eye to eye
294.json,last but not least
295.json,keep an eye out
296.json,move the goalposts
297.json,high and dry
298.json,give and take
299.json,give me a break
300.json,more or less
301.json,close to home
302.json,no strings attached
303.json,under the sun
304.json,bite the hand that feeds you
305.json,walk a mile in my shoes
306.json,full of hot air
307.json,sitting on pins and needles
308.json,back to square one
309.json,if it aint broke do not fix it
310.json,the sky is the limit
311.json,kill two birds with one stone
